********************************************************************************
*      Signed document issued by Sphere Online Judge  (http://www.spoj.com)      
********************************************************************************

----- BEGIN OF DATA -----
Submissions by [baqir96] in contest [SPOJ].  DoI: 2016-11-22 05:44:30.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 17258349 | 2016-07-10 18:03:37 |    GLJIVE |        AC |  0.00 |   3456 | C++ |
| 17258321 | 2016-07-10 17:58:15 |    GLJIVE |        WA |  0.00 |   3408 | C++ |
| 17258019 | 2016-07-10 16:59:57 |    SHAKTI |        AC |  0.20 |   3408 | C++ |
| 17257989 | 2016-07-10 16:52:07 |     RROOT |        AC |  0.00 |   3412 | C++ |
| 17257981 | 2016-07-10 16:50:16 |     RROOT |        WA |  0.00 |   3412 | C++ |
| 17257968 | 2016-07-10 16:48:37 |     RROOT |        WA |  0.00 |   3460 | C++ |
| 17257428 | 2016-07-10 15:10:45 |   POLEVAL |        AC |  0.14 |   3408 | C++ |
| 17256747 | 2016-07-10 12:44:32 |     MAJOR |        AC |  0.24 |   4124 | C++ |
| 17256687 | 2016-07-10 12:32:43 |     MAJOR |        RE |  0.01 |   3420 | C++ |
| 17254016 | 2016-07-09 21:16:39 |     PIVAL |      3895 |  0.00 |   3416 | C++ |
| 17235187 | 2016-07-06 14:53:50 |    BOOKS1 |        AC |  0.01 |   3420 | C++ |
| 17229197 | 2016-07-05 13:11:33 |  AKVQLD03 |        AC |  0.29 |   7324 | C++ |
| 17196787 | 2016-06-29 11:10:17 |  MICEMAZE |        AC |  0.00 |   4320 | C++ |
| 17191652 | 2016-06-28 14:04:48 |  EZDIJKST |        AC |  0.01 |   5028 | C++ |
| 17191555 | 2016-06-28 13:48:13 |  EZDIJKST |        WA |  0.01 |   5028 | C++ |
| 17190787 | 2016-06-28 11:29:27 |      GSS1 |        AC |  0.24 |   6736 | C++ |
| 17187941 | 2016-06-27 20:07:33 |    ANGELS |        WA |  0.01 |   3416 | C++ |
| 17187353 | 2016-06-27 18:02:25 |       PRO |        AC |  0.21 |   8036 | C++ |
| 17182878 | 2016-06-26 21:50:56 |     EQBOX |        AC |  0.05 |   3416 | C++ |
| 17182208 | 2016-06-26 19:42:28 |    CANTON |        AC |  0.00 |   3416 | C++ |
| 17177599 | 2016-06-25 20:57:45 |  WILLITST |        AC |  0.20 |   9944 | PYT |
| 17172051 | 2016-06-24 21:20:22 |     ABSYS |        AC |  0.01 |   8976 | PYT |
| 17172029 | 2016-06-24 21:12:47 |     ABSYS |        RE |  0.01 |   9936 | PYT |
| 17171818 | 2016-06-24 20:30:19 |     PALIN |        AC |  0.16 |   3420 | C++ |
| 17170422 | 2016-06-24 16:28:46 |  HANGOVER |        AC |  0.00 |   3416 | C++ |
| 17169840 | 2016-06-24 14:48:58 |    EIGHTS |        AC |  0.00 |   3464 | C++ |
| 17169681 | 2016-06-24 14:12:50 |    CANDY3 |        AC |  0.02 |   3416 | C++ |
